,P&R Ball Handler,Spot-Up,Transition,ISO,Post-Up,P&R Roll Man,Cut,Offensive Rebound,Off Screen,Hand Off,Total
Ismaila Kane,0,1,0,0,0,0,0,0,0,0,1
Chris Goulding,13,12,5,6,0,2,0,3,10,13,64
Alex Pledger,0,3,2,0,0,4,6,7,0,0,22
David Barlow,1,7,0,0,1,0,1,1,2,0,13
Craig Moller,1,0,1,0,1,0,0,0,0,2,5
Mitch McCarron,8,8,2,1,1,0,0,1,0,3,24
Sam McDaniel,0,0,0,0,0,0,0,0,0,0,0
Tohi Smith-Milner,3,5,1,0,0,4,1,0,1,1,16
Josh Boone,1,2,1,0,1,1,3,6,0,0,15
Peter Hooley,2,1,2,2,0,0,0,0,0,0,7
Daniel Trist,0,2,1,0,3,0,1,4,0,0,11
Samuel Short,0,2,0,0,0,0,1,0,0,0,3
Malik Newman,3,5,2,0,0,0,0,0,0,0,10
Desi Rodriguez,0,1,0,0,0,0,0,0,0,0,1
Tai Wesley,0,3,3,0,7,5,1,0,1,0,20
Thomas Abercrombie,0,1,6,1,1,2,4,2,3,1,21
Shea Ili,20,2,4,1,0,0,0,4,2,4,37
Majok Majok,0,1,0,0,0,1,1,1,0,0,4
Jarrad Weeks,16,4,3,0,0,0,0,2,0,1,26
Finn Delany,0,0,0,0,0,0,1,0,1,0,2
Patrick Richard,9,1,0,1,1,0,0,0,2,0,14
Armani Moore,0,1,0,0,0,1,0,2,1,0,5
Jordan McLaughlin,113,33,17,6,0,0,0,3,2,11,185
Nuni Omot,0,1,0,0,0,1,0,1,0,0,3
Rob Gray,1,1,1,0,0,0,0,0,0,0,3
Marcus Lee,0,0,0,0,1,2,1,4,0,0,8
Tyrius Walker,2,1,1,1,0,0,0,0,0,0,5
Jerome Randle,19,4,4,3,0,0,0,1,0,2,33
Kevin Lisch,10,2,3,2,1,0,2,2,2,2,26
Brad Newley,0,1,3,1,0,0,1,1,1,1,9
Brian Bowen,1,3,2,0,2,0,2,4,2,0,16
Kyle Adnam,3,1,0,0,0,0,0,0,1,0,5
Tomer Wilson,2,2,0,0,0,0,0,0,3,0,7
Deng Deng,0,1,0,0,0,0,0,0,0,0,1
Deng Acouth,0,0,0,0,0,1,0,0,0,0,1
Eric Stuteville,0,0,0,0,0,2,0,0,0,0,2
Isaac Haas,0,0,0,0,0,0,1,0,0,0,1
Zhuo Zhang,0,0,0,0,0,1,1,1,0,0,3
Shuo Fang,22,1,2,1,0,0,0,0,1,1,28
Xiaohui Wang,2,1,0,0,0,0,0,0,0,1,4
Yanxi Zhu,0,7,0,0,1,0,0,1,0,0,9
Jiangpeng Duang,2,3,0,0,0,1,0,0,1,1,8
Xiaoyu Liu,5,2,0,0,0,0,0,0,0,0,7
Jianiyou Taruike,0,1,0,0,5,1,0,1,0,0,8
Cairen Zhang,0,3,2,0,0,0,0,0,0,0,5
Haofeng Sun,6,2,0,0,0,0,0,0,0,0,8
Hongrui Duan,0,1,0,0,1,1,0,0,0,0,3
Xinlei Wang,0,0,0,0,0,0,0,0,0,0,0
Zion Williamson,6,23,35,8,41,17,35,31,5,8,209
Jaxson Hayes,0,3,33,2,3,103,100,81,0,0,325
Coby White,422,201,157,52,0,3,6,27,24,61,953
Nicolo Melli,4,93,34,3,26,56,11,23,10,1,261
Adam Mokoka,11,13,8,2,0,0,4,5,1,1,45
Nickeil Alexander-Walker,215,79,45,19,1,0,3,9,23,16,410
Matisse Thybulle,29,111,63,2,0,0,9,26,14,21,275
Marial Shayok,5,8,4,2,0,0,1,2,5,5,32
RJ Barrett,334,161,157,61,29,0,27,47,31,56,903
Gabe Vincent,1,5,0,0,0,0,0,0,2,3,11
Vlatko Cancar,1,7,1,1,0,5,0,3,2,2,22
Ja Morant,848,54,149,96,0,0,33,28,28,42,1278
Brandon Clarke,7,94,84,12,12,107,62,70,3,3,454
Kelan Martin,19,55,32,5,0,1,4,7,14,19,156
De'Andre Hunter,229,246,89,29,21,23,18,26,32,58,771
Jarrett Culver,215,148,113,45,7,3,35,59,20,53,698
Jaylen Nowell,18,15,13,2,0,0,4,2,4,4,62
Bruno Fernando,0,38,19,1,21,45,40,55,0,1,220
Naz Reid,0,29,10,4,11,37,15,18,2,0,126
Danilo Galinari,117,222,62,75,130,52,18,30,49,29,784
Darius Garland,558,140,96,71,0,1,12,23,33,71,1005
Luguentz Dort,11,56,28,3,0,0,16,8,2,3,127
Kevin Porter Jr.,173,86,78,75,11,0,22,16,4,26,491
Darius Bazley,15,157,69,15,1,17,11,24,6,19,334
Romeo Langford,8,14,10,2,0,0,2,6,1,4,47
Javonte Green,26,42,38,3,0,3,17,20,5,6,160
Grant Williams,9,72,17,1,27,27,27,54,4,3,241
Vincent Poirier,0,3,7,3,3,10,12,11,0,0,49
Eric Paschall,25,173,102,115,88,36,71,72,19,25,726
Jordan Poole,177,100,71,38,0,1,10,6,106,61,570
Jeremiah Martin,3,3,1,2,0,0,0,0,0,0,9
Terence Davis,195,123,95,12,0,1,25,37,18,10,516
Sekou Doumbouya,13,79,41,6,8,6,28,15,3,9,208
Jordan Bone,9,5,2,1,0,0,1,0,0,2,20
Louis King,1,12,1,0,0,1,1,1,1,4,22
Nassir Little,8,53,30,8,2,5,26,31,4,4,171
Cody Martin,46,68,44,4,4,3,7,28,7,16,227
P.J. Washington,10,182,73,22,118,114,53,42,7,7,628
Carsen Edwards,50,41,20,7,0,4,1,5,43,14,185
Tremont Waters,57,6,12,19,0,0,1,2,4,4,105
Jalen Lecque,5,6,1,1,0,0,0,0,1,2,16
Jared Harper,2,3,0,1,0,1,0,0,0,0,7
Tyler Herro,296,124,82,30,3,10,23,14,73,110,765
Chris Silva,0,7,9,1,3,21,28,53,0,0,122
Rui Hachimura,4,105,71,23,42,53,65,49,4,2,418
Daniel Gafford,2,1,17,0,5,44,48,49,0,0,166
Matt Thomas,18,43,18,2,0,1,2,5,26,4,119
Oshae Brissett,6,23,15,5,0,2,7,10,0,0,68
Paul Watson,4,2,2,0,0,0,0,0,1,0,9
Tariq Owens,0,3,0,0,0,0,0,2,0,0,5
Rayjon Tucker,6,12,8,2,0,2,3,2,4,1,40
Juwan Morgan,0,7,2,0,1,3,1,3,0,0,17
Eric Mika,0,0,0,0,0,2,1,2,0,0,5
Keldon Johnson,2,4,3,0,0,0,0,1,1,2,13
Tacko Fall,0,1,1,0,10,8,6,2,0,0,28
Cameron Reddish,189,179,112,23,0,2,19,30,12,73,639
Charles Brown,10,22,14,2,0,1,0,4,2,6,61
T.J. Warren,222,198,165,40,31,2,69,46,80,54,907
Goga Bitadze,0,17,8,0,5,55,25,20,0,1,131
Terance Mann,67,20,17,11,3,1,7,10,0,5,141
Michael Porter Jr.,19,62,66,19,6,5,44,46,32,20,319
Ty Jerome,75,31,9,5,0,0,2,5,0,8,135
John Konchar,8,3,1,0,0,0,1,2,1,2,18
Justin James,19,31,23,3,1,0,9,8,13,12,119
Isaiah Roby,0,1,5,3,0,6,2,6,0,2,25
Marko Guduric,87,68,41,17,1,1,3,14,9,17,258
Anzejs Pasecniks,0,7,11,2,10,36,38,40,0,1,145
Admiral Schofield,0,49,23,2,6,10,10,9,1,0,110
Tyler Cook,0,1,2,0,3,4,3,3,0,0,16
Chris Clemons,61,53,37,38,0,4,10,5,14,20,242
Kevin Hervey,0,3,0,0,0,0,0,0,0,2,5
Vic Law,0,1,1,0,0,0,0,0,0,0,2
Nicolas Claxton,0,13,12,2,1,23,14,21,0,0,86
Kyle Guy,9,7,7,0,0,0,0,0,3,0,26
DaQuan Jeffries,1,7,0,0,0,0,0,1,0,2,11
Jaylen Hoard,3,5,11,3,1,3,1,14,0,2,43
Moses Brown,0,0,6,2,3,7,7,5,0,0,30
Matt Mooney,0,1,1,0,0,0,0,0,0,0,2
Ky Bowman,238,57,50,27,0,0,12,19,18,42,463
Cameron Johnson,27,125,63,0,0,5,24,35,27,19,325
Norvel Pelle,0,1,4,0,3,13,14,14,0,0,49
Alen Smailagic,2,8,4,6,7,5,3,7,1,0,43
Dean Wade,0,2,6,1,0,3,3,2,0,0,17
Zylan Cheatham,0,2,3,0,1,1,2,4,0,0,13
Nigel Williams-Goss,27,13,5,2,1,1,0,3,1,1,54
Ignas Brazdeikis,6,14,1,1,2,0,0,2,2,3,31
Garrison Mathews,4,43,21,1,1,1,1,7,17,13,109
Amir Coffey,11,7,7,0,0,0,0,0,0,0,25
Josh Reaves,9,5,5,1,1,0,3,2,4,1,31
Justin Robinson,33,11,4,2,0,0,1,2,4,3,60
Shamorie Ponds,8,0,5,3,0,0,1,0,0,1,18
Mfiondu Kabengele,0,10,5,1,5,7,5,3,1,0,37
Jalen McDaniels,1,2,2,0,0,0,1,1,0,0,7
Caleb Martin,13,16,14,4,0,1,4,6,4,8,70
Talen Horton-Tucker,0,1,0,2,0,0,0,0,0,0,3
Devon Hall,21,7,4,0,0,0,0,0,1,3,36
Jarrell Brantley,2,3,5,0,2,1,1,1,0,1,16
Dewan Hernandez,0,0,7,0,1,4,7,8,0,0,27
Al-Farouq Aminu,11,54,27,4,16,7,14,28,2,9,172
Miye Oni,6,8,4,0,0,0,0,0,0,2,20
Max Strus,1,13,5,1,0,0,0,4,2,1,27
Brian Bowen II,0,1,1,0,1,0,0,1,2,0,6
Stanton Kidd,1,15,4,0,0,0,2,0,1,0,23
Zach Norvell Jr.,14,19,9,5,0,1,1,4,9,8,70
KZ Okpala,2,7,4,0,0,2,0,1,0,1,17
Devontae Cacok,0,5,10,1,4,8,16,13,0,1,58
Marcus Allen,1,3,1,0,0,0,1,0,0,1,7
Juan Toscano-Anderson,2,2,4,0,0,0,2,2,0,0,12
Kavion Pippen,0,1,2,0,1,2,2,3,0,0,11
Quinndary Weatherspoon,4,3,1,1,0,0,0,1,0,0,10
Luka Samanic,0,0,1,0,1,1,0,1,0,0,4
Keljin Blevins,2,2,1,0,1,0,0,1,1,0,8
Armoni Brooks,10,5,6,0,0,0,1,0,2,3,27
Justin Simon,9,9,4,1,2,2,2,6,0,1,36
Jo Lual-Acuil,3,8,2,2,2,1,0,6,0,0,24
Melo Trimble,41,3,5,4,0,0,0,0,1,4,58
Dillon Stith,1,4,2,0,0,0,1,0,0,1,9
Robert Franks,1,4,2,0,0,1,0,1,1,0,10
Ahmed Hill,2,3,3,1,0,1,0,0,0,1,11
Todd Withers,0,0,0,0,0,0,0,0,0,0,0
Marques Bolden,0,0,0,0,0,4,2,3,0,0,9
Donta Hall,0,0,0,0,0,2,0,2,0,0,4
Norense Odiase,0,1,0,0,0,0,0,0,0,0,1
Dakota Mathias,3,3,3,0,0,1,0,1,5,2,18
Jonathan Mor,0,2,1,1,0,5,3,0,0,0,12
Scott Suggs,6,5,1,5,0,0,0,0,4,1,22
Roman Sorkin,0,0,2,1,0,1,0,2,0,0,6
David Cohn,1,0,0,0,0,0,0,0,0,0,1
Jordan Murphy,0,1,3,0,0,0,0,1,0,0,5
Gil Amitay,1,0,1,0,0,0,0,0,0,0,2
Lindell Wigginton,2,0,2,0,0,0,1,0,2,0,7
Isaiah Miles,0,1,1,0,0,0,0,0,0,0,2
Christ Koumadje,0,0,0,0,0,0,1,3,0,0,4
Sagaba Konate,0,0,0,1,0,0,2,0,0,0,3
Phil Booth,8,9,4,3,0,0,3,1,0,1,29
Luke Maye,0,6,1,0,0,0,1,1,0,0,9
Yudai Baba,5,1,4,0,0,0,1,0,0,1,12
William Howard,5,4,3,0,0,0,1,0,2,1,16
Jalen Adams,1,0,0,0,0,0,0,0,3,1,5
Javon Bess,1,1,0,0,0,0,0,1,0,1,4
Josh Perkins,10,1,3,1,0,0,0,0,0,0,15
Perrion Callandret,1,0,1,0,0,0,0,0,0,0,2
Simisola Shittu,0,0,1,0,0,0,0,0,0,0,1
James Palmer Jr.,7,5,7,0,0,0,0,0,0,0,19
Terry Larrier,1,6,3,0,0,0,0,0,0,1,11
Robert Loe,0,5,2,0,2,10,4,5,0,0,28
RJ Hampton,24,4,4,3,0,0,1,1,0,2,39
Sek Henry,17,4,1,2,0,0,0,0,2,1,27
Ater Majok,0,2,0,0,0,5,2,0,0,0,9
Ethan Rusbatch,0,3,1,0,0,0,0,0,0,1,5
Thomas Vodanovich,0,2,0,0,0,2,0,0,0,0,4
Jordan Ngatai,0,0,0,0,0,0,0,1,0,0,1
Justin Wright-Foreman,11,4,1,1,0,0,0,1,0,1,19
Trevon Bluiett,2,1,0,0,0,0,0,0,0,0,3
Mychal Mulder,0,4,0,0,0,0,0,0,2,0,6
Kyle Alexander,0,0,0,0,0,0,0,1,0,0,1
Aric Holman,0,3,1,0,0,1,0,2,0,0,7
Yifeng Heng,2,5,1,0,0,0,0,1,0,1,10
Yongpeng Zhang,0,2,0,0,1,0,1,1,0,0,5
CJ Harris,26,6,3,2,0,0,0,0,3,0,40
Kun Si,0,0,0,0,0,0,1,1,0,0,2
Tianyi Yao,3,1,0,1,0,0,0,0,0,0,5
Yuheng Tian,1,0,1,0,0,0,0,0,1,0,3
Mingyang Sun,0,2,0,1,1,1,1,0,0,0,6
Dedric Lawson,0,1,1,0,0,0,0,0,0,0,2
Fengbo Liu,1,0,0,0,0,0,0,1,0,0,2
Yuezhou Gu,0,0,0,0,0,0,0,1,0,0,1
Hanlin Dong,0,1,0,0,3,0,1,0,0,0,5
Hanchen Luo,14,4,2,3,0,0,2,0,1,2,28
Mingxin Ju,3,5,8,2,3,0,2,1,0,2,26
Chun-jun Zhang,0,0,1,0,0,0,0,2,0,0,3
Tong Wang,0,0,1,0,0,0,2,0,0,0,3
Ramone Moore,4,1,2,0,0,0,1,0,1,2,11
Jerome Randall,18,0,2,5,0,0,0,0,0,0,25
Daniel Johnson,0,0,4,1,2,3,1,2,0,0,13
Anthony Drmic,2,1,0,0,0,0,1,0,2,0,6
Daniel Dillon,12,1,1,1,0,0,0,0,0,3,18
Deshon Taylor,1,2,0,0,0,1,0,0,1,0,5
Kevin White,1,1,0,0,0,0,0,0,0,0,2
Jack McVeigh,4,0,0,1,0,0,1,1,2,1,10
Harry Froling,0,3,1,0,1,6,0,0,0,0,11
Brendan Teys,1,1,2,0,1,0,0,1,0,0,6
Obi Kyei,0,1,0,1,1,0,1,1,0,0,5
Alex Mudronja,1,0,1,0,0,0,0,0,0,0,2
Rafael Hettsheimeir,0,4,0,0,5,9,0,0,0,0,18
Jimmy de Oliveira,8,5,1,1,0,0,1,2,0,0,18
Luciano Parodi,10,1,1,3,0,0,0,0,1,1,17
David Jackson,17,2,1,0,0,0,2,0,4,1,27
Elio Neto,10,2,0,0,0,0,0,0,0,0,12
Lucas Dias,0,4,1,0,5,1,0,1,1,0,13
Carlos Schattmann,6,0,1,0,0,0,0,0,4,0,11
Lucas Cipolini,0,3,2,0,2,0,0,4,0,0,11
Guilherme Braga,1,0,0,0,0,0,0,1,0,0,2
Augusto Alcassa,0,0,0,0,1,1,0,0,0,0,2
Xudong Luo,4,2,0,1,0,0,0,0,0,0,7
Yongsheng Wu,0,1,0,0,0,0,0,0,0,1,2
Lingyuan Meng,2,0,0,0,0,0,0,0,1,0,3
